post_id,title,category,address,tel,lat,lng,score,url
19677,olla（オジャ）,飲食店,,,35.70707184,139.6355079,,https://www.beertiful.jp/listing/olla/
19614,クイーンズソフトクリームカフェ（Queen's Soft Cream Cafe),飲食店,,,43.05764401,141.3532804,,https://www.beertiful.jp/listing/queens-soft-cream-cafe/
19603,洋風酒場Toy（ヨウフウサカバトイ）,飲食店,,,43.04102999,141.4125321,,https://www.beertiful.jp/listing/toy/
19598,立ち飲み 泡立ち,飲食店,,,43.04105108,141.4125443,,https://www.beertiful.jp/listing/awadachi/
19579,BEER INN 麦酒停（ビアイン ムギシュテイ）,飲食店,,,43.04898401,141.3517757,,https://www.beertiful.jp/listing/mugisyutei/
19527,リカーズ からはな（Liquors Kalahana）,酒屋,,,43.05655288,141.3472233,,https://www.beertiful.jp/listing/liquors-kalahana/
19525,Cider & Beer Kalahana（カラハナ）,飲食店,,,43.05656611,141.3472669,,https://www.beertiful.jp/listing/cider-beer-kalahana/
19520,SUNTORY JIGGER BAR SAPPORO（サントリー ジガーバー・サッポロ）,飲食店,,,43.05652783,141.3478272,,https://www.beertiful.jp/listing/suntory-jigger-bar-sapporo/
19510,クラフトビール & クラフトジン Craft attic（クラフトアティック）,飲食店,,,43.05484927,141.3505258,,https://www.beertiful.jp/listing/craft-attic/
19506,すすきのえーるSTAND,飲食店,,,43.05519617,141.3527306,,https://www.beertiful.jp/listing/susukinoyell-stand/
19433,NEIGHBOUR Roast & Brew（ネイバー）,飲食店ブルーパブ醸造所,,,43.06600199,141.3553108,,https://www.beertiful.jp/listing/neighbour/
19429,タップルーム 泡とギョーザ,飲食店,,,43.06690925,141.354305,,https://www.beertiful.jp/listing/awato-gyoza/
19408,ライラック館（サッポロビール園）,飲食店,,,43.07051268,141.3690867,,https://www.beertiful.jp/listing/lilac/
19370,開拓使館 トロンメルホール（サッポロビール園）,飲食店,,,43.07122197,141.3689847,,https://www.beertiful.jp/listing/kaitakushi_trommel/
19309,札幌開拓使麦酒醸造所／BREWERY 1876,ブルーパブ醸造所,,,43.06535241,141.3619372,,https://www.beertiful.jp/listing/brewery1876/
